"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_getAPIResponse_error","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestGoogleBooksFetcher","test_fetcher_googlebooks","",""
"","1","test_get_work_success_format","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestWorkBlueprint","test_api_work_blueprint","",""
"","1","test_generateAccessToken","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestNYPLApiManager","test_nyplAPI_manager","",""
"","0","test_format_named_success","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestCustomFormatter","test_custom_formatter_mapping","",""
"","0","test_getPublishers_none","tests.unit","Wed Oct 30 13:12:10 GMT 2024","passed","Wed Oct 30 13:12:10 GMT 2024","TestKMeansModel","test_kmeans_manager","",""
"","87","test_loadEbookLinks_success","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestOpenEditionParser","test_parser_openedition","",""
"","0","test_createFilterClausesAndAggregations_w_format_error","tests.unit","Wed Oct 30 13:12:08 GMT 2024","passed","Wed Oct 30 13:12:08 GMT 2024","TestElasticClient","test_api_es","",""
"","0","test_fetchEditionCovers_timeout","tests.unit.processes.file","Wed Oct 30 13:12:06 GMT 2024","passed","Wed Oct 30 13:12:06 GMT 2024","TestCoverProcess","test_cover_process","",""
"","0","test_getResupmtionToken_none","tests.unit.processes.ingest","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestDOABProcess","test_doab_process","",""
"","0","test_fetchVolume_success","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestGoogleBooksFetcher","test_fetcher_googlebooks","",""
"","1","test_addFields_dict","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestNavigation","test_opds_navigation","",""
"","2","test_fetch_and_update_manifests","tests.unit.processes.file","Wed Oct 30 13:12:06 GMT 2024","passed","Wed Oct 30 13:12:06 GMT 2024","TestUofMProcess","test_fulfill_manifest_process","",""
"","3","test_collection_delete_error","tests.unit","Wed Oct 30 13:12:08 GMT 2024","passed","Wed Oct 30 13:12:08 GMT 2024","TestCollectionBlueprint","test_api_collection_blueprint","",""
"","0","test_downloadCoverFile","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestAbstractFetcher","test_fetchers_abstract","",""
"","2","test_downloadRecordUpdates_success","tests.unit.processes.ingest","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestMUSEProcess","test_muse_process","",""
"","1","test_getMARCData_standardField","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestMARCMapping","test_marc_mapping","",""
"","0","test_applyFormatting","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestNYPLMapping","test_nypl_mapping","",""
"","0","test_flatten_already_flat","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestAPIUtils","test_api_utils","",""
"","1","test_downloadOAIRecords_daily","tests.unit.processes.ingest","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestDOABProcess","test_doab_process","",""
"","2","test_importFromHathiFile_error","tests.unit.processes.ingest","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestHathiTrustProcess","test_hathi_trust_process","",""
"","0","test_getFieldData_combined","tests.unit","Wed Oct 30 13:12:12 GMT 2024","passed","Wed Oct 30 13:12:12 GMT 2024","TestXMLMapping","test_xml_mapping","",""
"","2","test_query_elastic_error","tests.unit","Wed Oct 30 13:12:08 GMT 2024","passed","Wed Oct 30 13:12:08 GMT 2024","TestSearchBlueprint","test_api_search_blueprint","",""
"","0","test_run_process","tests.unit.processes.util","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestDatabaseMigrationProcess","test_db_migration_process","",""
"","1","test_createLinks_pdf","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestOpenEditionParser","test_parser_openedition","",""
"","1","test_searchForCover_missing","tests.unit.processes.file","Wed Oct 30 13:12:06 GMT 2024","passed","Wed Oct 30 13:12:06 GMT 2024","TestCoverProcess","test_cover_process","",""
"","0","test_repr","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestNavigation","test_opds_navigation","",""
"","1","test_formatString_single_field","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestJSONMapping","test_json_mapping","",""
"","2","test_hasCover_true","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestContentCafeFetcher","test_fetcher_contentcafe","",""
"","0","test_extractParamPairs_comma_delimited","tests.unit","Wed Oct 30 13:12:08 GMT 2024","passed","Wed Oct 30 13:12:08 GMT 2024","TestAPIUtils","test_api_utils","",""
"","1","test_generateSearchQuery_title_search","tests.unit","Wed Oct 30 13:12:08 GMT 2024","passed","Wed Oct 30 13:12:08 GMT 2024","TestElasticClient","test_api_es","",""
"","2","test_processUofMRecord_success","tests.unit.processes.ingest","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestUofMProcess","test_u_of_m_process","",""
"","1","test_addFields_list","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestNavigation","test_opds_navigation","",""
"","1","test_constructLanguagePipeline","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestElasticsearchManager","test_es_manager","",""
"","3","test_parseDOABRecord_success","tests.unit.processes.ingest","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestDOABProcess","test_doab_process","",""
"","0","test_iter","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestOPDSFacet","test_opds_facet","",""
"","1","test_fetchGithubRepoBatch_basic","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestGutenbergManager","test_gutenberg_manager","",""
"","1","test_getMessageFromQueue_error","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestRabbitMQManager","test_rabbitmq_manager","",""
"","3","test_importRDFRecords_custom","tests.unit.processes.ingest","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestGutenbergProcess","test_gutenberg_process","",""
"","0","test_has_version_russian","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestModelRecord","test_model_record","",""
"","0","test_registerProcesses","tests.unit","Wed Oct 30 13:12:10 GMT 2024","passed","Wed Oct 30 13:12:10 GMT 2024","TestMainProcess","test_main_process","",""
"","1","test_createFilterClausesAndAggregations_w_noGovDoc","tests.unit","Wed Oct 30 13:12:08 GMT 2024","passed","Wed Oct 30 13:12:08 GMT 2024","TestElasticClient","test_api_es","",""
"","1","test_parseRDF","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestGutenbergManager","test_gutenberg_manager","",""
"","1","test_addPublication_object","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestOPDSFacet","test_opds_group","",""
"","0","test_getFromSize","tests.unit","Wed Oct 30 13:12:08 GMT 2024","passed","Wed Oct 30 13:12:08 GMT 2024","TestElasticClient","test_api_es","",""
"","1","test_checkIAReadability_false","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestCatalogMapping","test_oclcCatalog_mapping","",""
"","1","test_getMessageFromQueue","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestRabbitMQManager","test_rabbitmq_manager","",""
"","3","test_queyApi_tokenExpired","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestNYPLApiManager","test_nyplAPI_manager","",""
"","0","test_hasCover","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestAbstractFetcher","test_fetchers_abstract","",""
